can,UMAP1,UMAP2,rate
COC(=O)C1=C(I)C=CC(OC)=C1,5.907182,11.889203,0.3781941142905343
ClC1=CC(Br)=C(I)C=C1Cl,2.9229808,7.5825343,0.3786877062542173
CC1=C(O)C(I)=CC(Cl)=C1,1.0230644,13.262291,0.3802579717009213
ClC1=C(I)C(=CC=C1)N(=O)=O,4.8864603,8.335389,0.3863027835248003
OC1=C(I)C=CC=C1,0.33891347,13.499209,0.3987701023420367
COC1=C(C)C(I)=CC=C1C,2.596688,17.416672,0.4001442863812089
CC1=CC=C(I)C=C1,8.787563,17.253366,0.4034680501813685
ClC1=CC=C(C=C1)C1=CC=C(I)C=C1,6.923348,16.114914,0.4051164631533144
IC1=CC=CC2=CC3=C(C=C12)C(I)=CC=C3,5.206449,12.588992,0.4054224832313002
IC1=CC=C(OCC2CC2)C=C1,6.5964613,17.200314,0.4101151060721245
NC1=CC=C(I)C=C1,6.7058415,18.356817,0.4106051729018068
ClC1=CC(Br)=CC(Cl)=C1I,2.9410353,6.886847,0.4112283733404424
BrC1=CN=C(OC2=CC=C(I)C=C2)N=C1,7.1272044,12.773129,0.4119411888137116
COC(=O)C1=C(N)C=CC=C1I,6.573893,12.105264,0.4138290743721783
NC1=C(Cl)C=C(Cl)C=C1I,2.0061886,13.522427,0.415232401821582
COC1=CC(=C(I)C=C1)S(F)(=O)=O,2.163417,8.831747,0.4156818793380161
COC(=O)C1=CC(I)=C(C)C=C1C,5.770245,11.909424,0.4230002224220653
CC1=C(I)C=C(O)C=C1,2.101291,17.111393,0.4235783025208192
COC1=CC=CC(I)=C1NC(=O)OC(C)(C)C,4.6880255,15.415398,0.4252568370302308
FC1=CC(F)=C(I)C=C1N(=O)=O,4.568609,9.822545,0.4257549960654081
CC1=CC(Cl)=CC(I)=C1N,1.0444906,15.077066,0.4288481174334299
FC(F)(F)C1=CC(=C(I)C=C1)C(F)(F)F,7.4740996,14.525884,0.4302581450357216
COC(=O)C1=C(C)C(I)=CC=C1,3.5296326,16.926857,0.4311933833858118
NC1=C(F)C(F)=C(I)C(F)=C1F,-1.012016,11.509315,0.4313933023698877
ClC1=CC=C(CBr)C(I)=C1,4.640716,16.506645,0.432496949827881
FC1=C(Cl)C=CC(I)=C1C=O,6.6425734,9.793433,0.4356357824461381
FC1=C(Cl)C=C(I)C=C1Cl,8.470886,14.77921,0.4415723646889617
COC1=CC(N)=C(I)C=C1I,1.8625423,14.453576,0.4455502882906621
IC1=CC=C(OCC2=CC=NC=C2)C=C1,6.160624,16.346458,0.4476133133357171
CC(C)(C)C(=O)NC1=CC=C(Cl)C=C1I,3.4674888,14.145041,0.45566106178716
COC1=C(I)C=C(Br)C=C1,1.9784924,12.926138,0.4588133837041801
OC(=O)C1=CC(Cl)=C(I)C(Cl)=C1,3.8354037,7.330848,0.4592475894180943
ClCC1=CC(I)=C(CCl)C=C1,4.0569525,17.162443,0.4593735452878176
OC1=CC2=C(C=CC=C2I)C=C1,4.9816394,12.355353,0.4631778645981284
COC(=O)C1=CC(I)=C(F)C=C1,1.2541022,11.211018,0.4638995334092495
CC1=CC(N)=C(I)C=C1C,0.6597246,15.530106,0.4693585094662527
CNCC1=C(I)C=CC=C1,2.0977015,17.086363,0.4704847139529329
NC1=C(F)C=C(C=C1I)C#N,1.5453938,13.183322,0.4722461820336687
OC(=O)CC1=CC=C(O)C(I)=C1,1.0118344,13.8658,0.4734073239904904
OC1=C(I)C=C(C=C1N(=O)=O)C#N,4.9822297,9.869258,0.4839376227244957
CC1=CC(I)=C(CO)C=C1,2.604828,18.171833,0.4860165985844362
FC(F)(F)C(F)(C1=CC=C(I)C=C1)C(F)(F)F,8.160431,14.864877,0.4888971701553504
IC1=CC=CC(CN2CCCC2)=C1,6.7215834,16.795868,0.4919019725636517
IC1=CC=C(C#N)C(I)=C1,8.747906,13.982432,0.4963810077188251
CC1=C(I)C(=CC(Br)=C1)C(O)=O,6.492695,10.708512,0.4979598744353937
COC(=O)C1=CC(I)=C(N)C=C1Cl,1.6637552,13.945986,0.4988230210398049
ClC1=CC2=C(C=C1)C=C(I)C=C2,7.136087,11.939433,0.501388129731924
OCC1=C(I)C=CC(F)=C1,2.6921046,17.166842,0.5051233469833641
BrC1=C(C=CC=C1I)C#N,3.4635108,8.078419,0.5072281306197666
CC1=C(C)C(I)=C(C=C1)C(O)=O,6.317857,11.248403,0.5108685380226708
CC1=CC(=C(I)C(Br)=C1)N(=O)=O,4.5380363,8.3186455,0.5111620607467443
CC(C)C1=C(I)C=CC(Br)=C1,3.3188262,16.88541,0.5138879594425679
CC(=O)CCC1=CC=C(I)C=C1,7.214699,12.452723,0.5141443970126118
COC1=C(I)C=C(C(O)=O)C(F)=C1,1.462145,12.02175,0.5257016864060606
[H][C@](N)(CC1=CC=C(OC2=CC=C(O)C=C2)C(I)=C1)C(O)=O,4.859638,14.72147,0.5291908705227046
COC(=O)C1=C(CBr)C(I)=CC=C1,6.3837447,11.095521,0.5348822890275066
OC1=C(I)C=C(F)C(F)=C1I,2.6727557,12.1567745,0.5353127546122671
IC1=CC=C(C=C1)C1=NC=CO1,7.0429425,11.996098,0.5376468742303384
ClCC1=CC=C(I)C=C1,8.987047,16.462349,0.5460118637696681
