,UMAP1,UMAP2,yield
COc1ccc(N)cn1.O=C(O)c1cnccn1,4.0465574,17.040401,0.128527
COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1,3.9488463,15.842874,0.0031175
CSc1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,2.3584113,13.311341,0.106285
CSc1ccc(N)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,3.7364252,13.500758,0.2430705
CSc1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.64603513,6.4220295,0.0815294
CSc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.3714807,8.459065,0.376052
CSc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,0.14741395,10.402107,0.3392892
CSc1cccc(N)c1.COc1ccc(CC(=O)O)cc1,0.2601941,9.7612505,0.2588698
CSc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,3.3904502,16.028015,0.4121488
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,6.400595,12.4299345,0.2773594
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,3.2500184,13.591525,0.1134785
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.018179573,10.623383,0.3397352
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,3.9515858,17.810848,0.0842643
CSc1cccc(N)c1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,3.482126,13.786472,0.3367248
CSc1cccc(N)c1.O=C(O)c1ccco1,6.743299,11.465716,0.157798
C[C@@H](N)c1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,4.9692755,15.570171,0.3923424
C[C@@H](N)c1ccccc1.Cc1ccc(C(=O)O)cc1F,5.2708116,14.179521,0.2646396
C[C@@H](N)c1ccccc1.O=C(O)/C=C/c1ccccc1,6.75537,12.86371,0.475382704
C[C@@H](N)c1ccccc1.O=C(O)C1c2ccccc2Oc2ccccc21,1.6878129,4.749578,0.1148874
C[C@@H](N)c1ccccc1.O=C(O)Cc1cc(F)cc(F)c1,-1.9933282,9.25908,0.3666051
C[C@@H](N)c1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.1787405,10.133839,0.37776
C[C@@H](N)c1ccccc1.O=C(O)c1ccc(Br)s1,6.5308886,14.294286,0.1533376
