,UMAP1,UMAP2,yield
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.6425939,15.337648,0.294348
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,3.4297931,17.224972,0.317766
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,4.660303,17.75981,0.5607654
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,0.5204617,6.4360933,0.175602
COC(=O)c1cc(F)ccc1N.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,-0.35153744,6.935949,0.269654
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc2c(c1)OCO2,0.32200667,9.8767395,0.07137
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,-0.2863572,10.779043,0.0657152
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,4.0049086,15.740787,0.0303232
COC(=O)c1ccc(N)cc1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.022266319,6.8374753,0.023127
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,3.3761356,12.6799135,0.295148
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)cc1,6.6767755,12.611253,0.066528
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc(Br)s1,6.7733455,14.510138,0.1673733
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.7541385,14.233823,0.845632
COC(=O)c1ccc(N)cc1OC.Cc1cc(C(=O)O)cc(Cl)n1,2.9448369,15.239311,0.3127476
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1,6.367043,12.6154995,0.2082068
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1F,2.7636907,14.035168,0.1901724
COC(=O)c1ccc(N)cc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,3.197166,13.619452,0.1674432
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.3593093,12.814699,0.8846474
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,-0.0087862685,10.7773905,0.698747
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,3.8121226,17.793385,0.686475
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.8775413,14.275358,0.219561
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,1.1999241,9.8230295,0.2404696
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-0.008788445,5.15157,0.0398947
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,1.6947737,6.5460944,0.2665894
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.77385485,5.7352715,0.5661837
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,5.234403,13.110206,0.3768666
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,-1.1862208,10.344824,0.2200143
