Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
461,COC(=O)CC1CCc2cc(C(Cc3ccccc3)N(C)C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CN(C(=O)OC(C)(C)C)[C@@H](Cc1ccccc1)C(=O)O,1.4
462,COC(=O)CC1CCc2cc(Cc3ccc(C(C)C)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)c1ccc(CC(=O)O)cc1,14.7
463,COC(=O)CC1CCc2cc(C3CCC(C(C)(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)C1CCC(C(=O)O)CC1,1.1
464,COC(=O)CC1CCc2cc(CCCCCCC(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)CCCCCCC(=O)O,4.7
465,COC(=O)CC1CCc2cc(C3CCc4ccccc4O3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CCc2ccccc2O1,50.0
466,COC(=O)CC1CCc2cc(CCOc3cccc(OC)c3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,COc1cccc(OCCC(=O)O)c1,1.6
467,COC(=O)CC1CCc2cc(CNC(=O)CNC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CNC(=O)CNC(=O)c1ccccc1,29.8
468,COC(=O)CC1CCc2cc(Cn3ccc4ccccc43)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)Cn1ccc2ccccc21,18.8
469,COC(=O)CC1CCc2cc(COc3ccc(OC(F)(F)F)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)COc1ccc(OC(F)(F)F)cc1,34.4
471,COC(=O)CC1CCc2cc(CNC(=O)[C@H](CCC(N)=O)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,NC(=O)CC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)O,40.5
472,COC(=O)CC1CCc2cc(CCC(=O)c3ccc(-c4ccccc4)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0.4
474,COC(=O)CC1CCc2cc(Cc3c(C)n(C(=O)c4ccc(Cl)cc4)c4ccc(OC)cc34)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.1
476,COC(=O)CC1CCc2cc(COc3ccc(C=O)c(OC)c3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,COc1cc(OCC(=O)O)ccc1C=O,18.9
477,COC(=O)CC1CCc2cc(C(Cc3cccs3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N[C@@H](Cc1cccs1)C(=O)O,5.0
